Country,Ground,Matches,Won,Runs,Wkts
New Zealand,"Basin Reserve, Wellington - New Zealand",3,3,1498,48
Hong Kong,"Mission Road Ground, Mong Kok, Hong Kong - Hong Kong",4,4,1654,70
West Indies,"Kensington Oval, Bridgetown, Barbados - West Indies",7,6,3271,99
England,"County Ground, Bristol - England",4,3,1848,55
India,"Greater Noida Sports Complex Ground, Greater Noida - India",5,5,2629,79
Sri Lanka,"Sinhalese Sports Club Ground, Colombo - Sri Lanka",1,1,490,19
Sri Lanka,Galle International Stadium - Sri Lanka,2,2,951,22
P.N.G.,"Amini Park, Port Moresby - P.N.G.",2,2,862,34
New Zealand,"Cobham Oval (New), Whangarei - New Zealand",1,1,497,14
Australia,Perth Stadium - Australia,2,2,811,34
Zimbabwe,Bulawayo Athletic Club - Zimbabwe,3,3,1130,46
Zimbabwe,"Old Hararians, Harare - Zimbabwe",5,5,2156,75
India,"Barsapara Cricket Stadium, Guwahati - India",1,1,648,10
India,"Brabourne Stadium, Mumbai - India",1,1,530,15
India,"Greenfield International Stadium, Thiruvananthapuram - India",1,1,209,11
Bangladesh,Sylhet International Cricket Stadium - Bangladesh,1,1,400,11
India,"Rajiv Gandhi International Cricket Stadium, Dehradun - India",5,4,1864,67
Namibia,"Wanderers Cricket Ground, Windhoek - Namibia",1,1,307,17
Namibia,"Affies Park, Windhoek - Namibia",1,1,329,15
